timestamp_utc,action,symbol,target_weight
2026-05-19T00:02:09.312268+00:00,crypto10_freqai15_llm25_ichi25_bil25,BIL,0.3
2026-05-19T00:02:09.312277+00:00,crypto10_freqai15_llm25_ichi25_bil25,BTC/USD,0.1075
2026-05-19T00:02:09.312281+00:00,crypto10_freqai15_llm25_ichi25_bil25,ETH/USD,0.09
2026-05-19T00:02:09.312284+00:00,crypto10_freqai15_llm25_ichi25_bil25,LINK/USD,0.0225
2026-05-19T00:02:09.312287+00:00,crypto10_freqai15_llm25_ichi25_bil25,QQQ,0.175
2026-05-19T00:02:09.312291+00:00,crypto10_freqai15_llm25_ichi25_bil25,SOL/USD,0.03
2026-05-19T00:02:09.312294+00:00,crypto10_freqai15_llm25_ichi25_bil25,SPY,0.275
