timestamp_utc,action,symbol,target_weight
2026-05-14T23:53:36.443867+00:00,crypto05_alpha35_bil60,BIL,0.635
2026-05-14T23:53:36.443876+00:00,crypto05_alpha35_bil60,BTC/USD,0.0275
2026-05-14T23:53:36.443880+00:00,crypto05_alpha35_bil60,ETH/USD,0.0225
2026-05-14T23:53:36.443883+00:00,crypto05_alpha35_bil60,QQQ,0.1225
2026-05-14T23:53:36.443886+00:00,crypto05_alpha35_bil60,SPY,0.1925
2026-05-15T11:14:47.346730+00:00,crypto15_simplemeta65_bil20,BIL,0.4275
2026-05-15T11:14:47.346740+00:00,crypto15_simplemeta65_bil20,BTC/USD,0.12625
2026-05-15T11:14:47.346744+00:00,crypto15_simplemeta65_bil20,ETH/USD,0.091625
2026-05-15T11:14:47.346746+00:00,crypto15_simplemeta65_bil20,QQQ,0.13
2026-05-15T11:14:47.346748+00:00,crypto15_simplemeta65_bil20,SOL/USD,0.029625
2026-05-15T11:14:47.346751+00:00,crypto15_simplemeta65_bil20,SPY,0.195
2026-05-15T23:52:51.707378+00:00,crypto15_simplemeta65_bil20,BIL,0.4275
2026-05-15T23:52:51.707385+00:00,crypto15_simplemeta65_bil20,BTC/USD,0.12625
2026-05-15T23:52:51.707389+00:00,crypto15_simplemeta65_bil20,ETH/USD,0.091625
2026-05-15T23:52:51.707393+00:00,crypto15_simplemeta65_bil20,QQQ,0.13
2026-05-15T23:52:51.707397+00:00,crypto15_simplemeta65_bil20,SOL/USD,0.029625
2026-05-15T23:52:51.707401+00:00,crypto15_simplemeta65_bil20,SPY,0.195
2026-05-18T12:10:59.042808+00:00,crypto10_freqai15_llm25_ichi25_bil25,BIL,0.3
2026-05-18T12:10:59.042818+00:00,crypto10_freqai15_llm25_ichi25_bil25,BTC/USD,0.1075
2026-05-18T12:10:59.042824+00:00,crypto10_freqai15_llm25_ichi25_bil25,ETH/USD,0.09
2026-05-18T12:10:59.042829+00:00,crypto10_freqai15_llm25_ichi25_bil25,LINK/USD,0.0225
2026-05-18T12:10:59.042833+00:00,crypto10_freqai15_llm25_ichi25_bil25,QQQ,0.175
2026-05-18T12:10:59.042837+00:00,crypto10_freqai15_llm25_ichi25_bil25,SOL/USD,0.03
2026-05-18T12:10:59.042841+00:00,crypto10_freqai15_llm25_ichi25_bil25,SPY,0.275
2026-05-18T12:23:03.746787+00:00,crypto10_freqai15_llm25_ichi25_bil25,BIL,0.3
2026-05-18T12:23:03.746796+00:00,crypto10_freqai15_llm25_ichi25_bil25,BTC/USD,0.1075
2026-05-18T12:23:03.746799+00:00,crypto10_freqai15_llm25_ichi25_bil25,ETH/USD,0.09
2026-05-18T12:23:03.746802+00:00,crypto10_freqai15_llm25_ichi25_bil25,LINK/USD,0.0225
2026-05-18T12:23:03.746804+00:00,crypto10_freqai15_llm25_ichi25_bil25,QQQ,0.175
2026-05-18T12:23:03.746807+00:00,crypto10_freqai15_llm25_ichi25_bil25,SOL/USD,0.03
2026-05-18T12:23:03.746809+00:00,crypto10_freqai15_llm25_ichi25_bil25,SPY,0.275
2026-05-18T19:53:42.619347+00:00,crypto10_freqai15_llm25_ichi25_bil25,BIL,0.3
2026-05-18T19:53:42.619357+00:00,crypto10_freqai15_llm25_ichi25_bil25,BTC/USD,0.1075
2026-05-18T19:53:42.619361+00:00,crypto10_freqai15_llm25_ichi25_bil25,ETH/USD,0.09
2026-05-18T19:53:42.619363+00:00,crypto10_freqai15_llm25_ichi25_bil25,LINK/USD,0.0225
