timestamp_utc,model_id,allocation_mode,action,action_source,allocation_state,fallback_used,fallback_reason,require_ppo,submit_orders,orders_allowed,rebalance_reason,cancel_open_orders,cancel_status,cancelled_orders,account_status,portfolio_value,equity,cash,n_target_symbols,n_planned_orders,n_submitted_orders,selected_variant,metadata_name,ppo_models_loaded,ppo_chosen_probability
2026-05-10T02:33:33.110440+00:00,br_ppo_crypto_v15,ppo,crypto15_simplemeta65_bil20,ppo_ensemble_model,live_proxy_features_exact_shape_1945,false,,true,true,true,force_rebalance,false,not_requested,0,connected,1000000.0,1000000.0,1000000.0,6,6,6,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84__BRPPO_ENSEMBLE_VOL08,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84,3,0.24915706062903006
2026-05-11T12:00:56.570396+00:00,br_ppo_crypto_v15,ppo,crypto10_hrp60_bil30,ppo_ensemble_model,live_proxy_features_exact_shape_1945,false,,true,true,false,rebalance_wait_elapsed_days_1_threshold_10,false,not_requested,0,connected,1000802.08,1000802.08,757261.55,6,0,0,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84__BRPPO_ENSEMBLE_VOL08,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84,3,0.24339121679430498
2026-05-11T13:45:28.517063+00:00,br_ppo_crypto_v15,ppo,crypto10_hrp60_bil30,ppo_ensemble_model,live_proxy_features_exact_shape_1945,false,,true,true,false,rebalance_wait_elapsed_days_1_threshold_10,false,not_requested,0,connected,1000465.26,1000465.26,4761.55,6,0,0,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84__BRPPO_ENSEMBLE_VOL08,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84,3,0.2435411238473569
2026-05-11T20:03:15.444359+00:00,br_ppo_crypto_v15,ppo,crypto10_hrp60_bil30,ppo_ensemble_model,live_proxy_features_exact_shape_1945,false,,true,true,false,rebalance_wait_elapsed_days_1_threshold_10,false,not_requested,0,connected,1003725.28,1003725.28,4761.55,6,0,0,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84__BRPPO_ENSEMBLE_VOL08,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84,3,0.23625782991389796
2026-05-11T23:54:26.364103+00:00,br_ppo_crypto_v15,ppo,crypto10_hrp60_bil30,ppo_ensemble_model,live_proxy_features_exact_shape_1945,false,,true,true,false,rebalance_wait_elapsed_days_1_threshold_10,false,not_requested,0,connected,1003184.1,1003184.1,4761.55,6,0,0,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84__BRPPO_ENSEMBLE_VOL08,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84,3,0.23486480281846636
2026-05-12T11:14:23.914346+00:00,br_ppo_crypto_v15,ppo,crypto05_alpha35_bil60,ppo_ensemble_model,live_proxy_features_exact_shape_1945,false,,true,true,false,rebalance_wait_elapsed_days_2_threshold_10,false,not_requested,0,connected,996231.27,996231.27,4761.55,5,0,0,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84__BRPPO_ENSEMBLE_VOL08,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84,3,0.2526491158408712
2026-05-12T20:05:12.079960+00:00,br_ppo_crypto_v15,ppo,crypto05_alpha35_bil60,ppo_ensemble_model,live_proxy_features_exact_shape_1945,false,,true,true,false,rebalance_wait_elapsed_days_2_threshold_10,false,not_requested,0,connected,997091.33,997091.33,4761.55,5,0,0,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84__BRPPO_ENSEMBLE_VOL08,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84,3,0.2481630252905985
2026-05-12T23:56:50.684299+00:00,br_ppo_crypto_v15,ppo,crypto05_alpha35_bil60,ppo_ensemble_model,live_proxy_features_exact_shape_1945,false,,true,true,false,rebalance_wait_elapsed_days_2_threshold_10,false,not_requested,0,connected,995708.91,995708.91,4761.55,5,0,0,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84__BRPPO_ENSEMBLE_VOL08,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84,3,0.25955765481371107
2026-05-13T11:27:21.930137+00:00,br_ppo_crypto_v15,ppo,crypto10_hrp60_bil30,ppo_ensemble_model,live_proxy_features_exact_shape_1945,false,,true,true,false,rebalance_wait_elapsed_days_3_threshold_10,false,not_requested,0,connected,998831.07,998831.07,4761.55,6,0,0,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84__BRPPO_ENSEMBLE_VOL08,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84,3,0.2706639444194037
2026-05-13T20:11:14.283546+00:00,br_ppo_crypto_v15,ppo,crypto05_alpha35_bil60,ppo_ensemble_model,live_proxy_features_exact_shape_1945,false,,true,true,false,rebalance_wait_elapsed_days_3_threshold_10,false,not_requested,0,connected,995833.65,995833.65,4761.55,5,0,0,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84__BRPPO_ENSEMBLE_VOL08,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84,3,0.24200805061916741
2026-05-13T23:53:28.939034+00:00,br_ppo_crypto_v15,ppo,crypto05_alpha35_bil60,ppo_ensemble_model,live_proxy_features_exact_shape_1945,false,,true,true,false,rebalance_wait_elapsed_days_3_threshold_10,false,not_requested,0,connected,996422.26,996422.26,4761.55,5,0,0,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84__BRPPO_ENSEMBLE_VOL08,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84,3,0.23720310367290268
2026-05-14T11:10:55.055375+00:00,br_ppo_crypto_v15,ppo,crypto05_alpha35_bil60,ppo_ensemble_model,live_proxy_features_exact_shape_1945,false,,true,true,false,rebalance_wait_elapsed_days_4_threshold_10,false,not_requested,0,connected,997084.2,997084.2,4761.55,5,0,0,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84__BRPPO_ENSEMBLE_VOL08,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84,3,0.22916239541597141
2026-05-14T20:31:07.286344+00:00,br_ppo_crypto_v15,ppo,crypto05_alpha35_bil60,ppo_ensemble_model,live_proxy_features_exact_shape_1945,false,,true,true,false,rebalance_wait_elapsed_days_4_threshold_10,false,not_requested,0,connected,1002756.4,1002756.4,4761.55,5,0,0,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84__BRPPO_ENSEMBLE_VOL08,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84,3,0.24621260359903163
2026-05-14T23:53:36.443282+00:00,br_ppo_crypto_v15,ppo,crypto05_alpha35_bil60,ppo_ensemble_model,live_proxy_features_exact_shape_1945,false,,true,true,false,rebalance_wait_elapsed_days_4_threshold_10,false,not_requested,0,connected,1002147.15,1002147.15,4761.55,5,0,0,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84__BRPPO_ENSEMBLE_VOL08,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84,3,0.2520638813658036
2026-05-15T11:14:47.346051+00:00,br_ppo_crypto_v15,ppo,crypto15_simplemeta65_bil20,ppo_ensemble_model,live_proxy_features_exact_shape_1945,false,,true,true,false,rebalance_wait_elapsed_days_5_threshold_10,false,not_requested,0,connected,997099.99,997099.99,4761.55,6,0,0,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84__BRPPO_ENSEMBLE_VOL08,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84,3,0.236320518609337
2026-05-15T23:52:51.706858+00:00,br_ppo_crypto_v15,ppo,crypto15_simplemeta65_bil20,ppo_ensemble_model,live_proxy_features_exact_shape_1945,false,,true,true,false,rebalance_wait_elapsed_days_5_threshold_10,false,not_requested,0,connected,990626.39,990626.39,4761.55,6,0,0,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84__BRPPO_ENSEMBLE_VOL08,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84,3,0.2937697628443161
2026-05-18T12:10:59.040716+00:00,br_ppo_crypto_v15,ppo,crypto10_freqai15_llm25_ichi25_bil25,ppo_ensemble_model,live_proxy_features_exact_shape_1945,false,,true,true,false,rebalance_wait_elapsed_days_8_threshold_10,false,not_requested,0,connected,984445.44,984445.44,4761.55,7,0,0,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84__BRPPO_ENSEMBLE_VOL08,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84,3,0.3049494889067358
2026-05-18T12:23:03.746134+00:00,br_ppo_crypto_v15,ppo,crypto10_freqai15_llm25_ichi25_bil25,ppo_ensemble_model,live_proxy_features_exact_shape_1945,false,,true,true,false,rebalance_wait_elapsed_days_8_threshold_10,false,not_requested,0,connected,984471.8,984471.8,4761.55,7,0,0,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84__BRPPO_ENSEMBLE_VOL08,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84,3,0.30526439429853364
2026-05-18T19:53:42.618677+00:00,br_ppo_crypto_v15,ppo,crypto10_freqai15_llm25_ichi25_bil25,ppo_ensemble_model,live_proxy_features_exact_shape_1945,false,,true,true,false,rebalance_wait_elapsed_days_8_threshold_10,false,not_requested,0,connected,982265.93,982265.93,4761.55,7,0,0,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84__BRPPO_ENSEMBLE_VOL08,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84,3,0.30922025777291773
2026-05-19T00:02:09.311824+00:00,br_ppo_crypto_v15,ppo,crypto10_freqai15_llm25_ichi25_bil25,ppo_ensemble_model,live_proxy_features_exact_shape_1945,false,,true,true,false,rebalance_wait_elapsed_days_8_threshold_10,false,not_requested,0,connected,983031.85,983031.85,4761.55,7,0,0,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84__BRPPO_ENSEMBLE_VOL08,V8_CRYPTO_MANDATORY_FREQAI_SHARPE_MAX_V84,3,0.3075800064642116
